control_id,display_name,input_event,binding,calculator_code,readback,expected_value,source,status,notes
nav-logo-position-2,NAV & LOGO selector position 2,AIRLINER_LT_NAVLOGO,STATE1,"(>B:AIRLINER_LT_NAVLOGO_STATE1)",INI_LOGO_LIGHT_SWITCH,0,MSFS Behavior Viewer + user live test,Live verified,Aircraft selector label 2 maps to native value 0
nav-logo-off,NAV & LOGO selector OFF,AIRLINER_LT_NAVLOGO,STATE3,"(>B:AIRLINER_LT_NAVLOGO_STATE3)",INI_LOGO_LIGHT_SWITCH,2,MSFS Behavior Viewer + user live test,Live verified,Aircraft selector OFF maps to native value 2
strobe-selector,STROBE selector,AIRLINER_LT_STROBE,SetInputEvent 0/1/2,,INI_STROBE_LIGHT_SWITCH,ON=0 AUTO=1 OFF=2,HubHop export + controlled live command test,Live verified,AUTO and OFF independently verified
fire-test-apu,APU fire test,INSTRUMENT_FIRE_APU_TEST,Mouserect Lock/Unlock,"1/0 (>L:INI_APU_FIRE_TEST)",A320_APU_FIRE_LIT or INI_APU_FIRE_SOUND,0/1,MSFS Behavior Viewer + controlled live test,Live verified,Single sustained five-second hold followed by one release
fire-test-engine-1,Engine 1 fire test,INSTRUMENT_FIRE_ENG1_TEST,Mouserect Lock/Unlock,"1/0 (>L:INI_ENG1_FIRE_TEST)",A320_ENG1_FIRE_LIT or INI_ENG1_FIRE_SOUND,0/1,APU pattern + controlled live test,Live verified,Single sustained five-second hold followed by one release
fire-test-engine-2,Engine 2 fire test,INSTRUMENT_FIRE_ENG2_TEST,Mouserect Lock/Unlock,"1/0 (>L:INI_ENG2_FIRE_TEST)",A320_ENG2_FIRE_LIT or INI_ENG2_FIRE_SOUND,0/1,APU pattern + controlled live test,Live verified,Single sustained five-second hold followed by one release
apu-generator,APU generator,AIRLINER_ELEC_APU_GEN,PUSH,"(>B:AIRLINER_ELEC_APU_GEN_PUSH)",INI_APU_GEN_ON,,MSFS Behavior Viewer + MobiFlight LVar inventory,Ready for live verification,Push binding and independent native readback documented
apu-master,APU master,AIRLINER_APU_MASTER,PUSH,"(>B:AIRLINER_APU_MASTER_PUSH)",INI_APU_MASTER_SWITCH,,MSFS Behavior Viewer + MobiFlight LVar inventory + live test,Binding semantics unresolved,Binding exists but parameterless calculator command did not change native state; expanded PUSH details required
apu-start,APU start,AIRLINER_APU_START,PUSH,"(>B:AIRLINER_APU_START_PUSH)",INI_APU_START_BUTTON,,MSFS Behavior Viewer + MobiFlight LVar inventory,Ready for live verification,Push binding and native button readback documented; APU availability uses INI_APU_AVAILABLE
apu-bleed,APU bleed,AIRLINER_APU_BLEED,Mouserect,"(L:INI_APU_BLEED_BUTTON) ! (>L:INI_APU_BLEED_BUTTON) (L:__APU_BLEEDIsPressed) ! (>L:__APU_BLEEDIsPressed)",INI_APU_BLEED_BUTTON,0/1,MSFS Behavior Viewer + live test,Live verified,Exact cockpit Mouserect code; ON and OFF verified
adirs-1,ADIRS selector 1,AIRLINER_ADIRS_1,SetInputEvent 0/1,,INI_IRS1_STATE,0/1,Passive monitor + controlled live command test,Live verified,OFF=0 and NAV=1; both directions verified; flow also monitors INI_IRS_ON_BATTERY
adirs-2,ADIRS selector 2,AIRLINER_ADIRS_2,SetInputEvent 0/1,,INI_IRS2_STATE,0/1,Controlled complete-flow test,Live verified,NAV=1 verified; flow waits for INI_IRS_ON_BATTERY to extinguish
adirs-3,ADIRS selector 3,AIRLINER_ADIRS_3,SetInputEvent 0/1,,INI_IRS3_STATE,0/1,Controlled complete-flow test,Live verified,NAV=1 verified
seatbelts,Seat-belt signs,AIRLINER_LT_SIGN_SEATBELTS,SetInputEvent 1/2,,INI_SEATBELTS_SWITCH,AUTO=1 OFF=2,Passive monitor + controlled live command test,Live verified,AUTO and OFF independently verified; gameplay flow uses AUTO
no-smoking,No-smoking signs,AIRLINER_LT_SIGN_NOSMOKING,SetInputEvent 1/2,,INI_NO_SMOKING_SWITCH,AUTO=1 OFF=2,Controlled live command test,Live verified,AUTO and OFF independently verified
emergency-exit,Emergency exit lights,AIRLINER_LT_SIGN_EMEREXIT,SetInputEvent 1/2,,INI_EMER_EXIT_SWITCH,ARM=1 OFF=2,Controlled live command test,Live verified,ARM and OFF independently verified
transponder-mode-selector,Transponder mode selector STBY/AUTO/ON,AIRLINER_TCAS_MODE,STATE1/STATE2/STATE3,"(>B:AIRLINER_TCAS_MODE_State1/2/3)",INI_TCAS_STBY_STATE,STBY=0 AUTO=1 ON=2,MSFS Behavior Viewer + controlled live test,Live verified,AUTO and return to STBY independently verified
